,Id,city,dates,neutral_venue,winner,wickets/runs,D/L_method,overs,player_of_match,host,visiting,umpire1,umpire2,venue,choice of toss,toss winner,year,won_by
0,1082591,Hyderabad,2017-04-05 00:00:00,, Sunrisers Hyderabad,runs,,20,Yuvraj Singh,Sunrisers Hyderabad, Royal Challengers Bangalore,AY Dandekar,NJ Llong,"Rajiv Gandhi International Stadium, Uppal",field,Royal Challengers Bangalore,2017,35
1,1082592,Pune,2017-04-06 00:00:00,, Rising Pune Supergiant,wickets,,20,SPD Smith,Rising Pune Supergiant, Mumbai Indians,A Nand Kishore,S Ravi,Maharashtra Cricket Association Stadium,field,Rising Pune Supergiant,2017,7
2,1082593,Rajkot,2017-04-07 00:00:00,, Kolkata Knight Riders,wickets,,20,CA Lynn,Gujarat Lions, Kolkata Knight Riders,Nitin Menon,CK Nandan,Saurashtra Cricket Association Stadium,field,Kolkata Knight Riders,2017,10
3,1082594,Indore,2017-04-08 00:00:00,, Kings XI Punjab,wickets,,20,GJ Maxwell,Kings XI Punjab, Rising Pune Supergiant,AK Chaudhary,C Shamshuddin,Holkar Cricket Stadium,field,Kings XI Punjab,2017,6
4,1082595,Bangalore,2017-04-08 00:00:00,, Royal Challengers Bangalore,runs,,20,KM Jadhav,Royal Challengers Bangalore, Delhi Daredevils,,,M Chinnaswamy Stadium,bat,Royal Challengers Bangalore,2017,15
5,1082596,Hyderabad,2017-04-09 00:00:00,, Sunrisers Hyderabad,wickets,,20,Rashid Khan,Sunrisers Hyderabad, Gujarat Lions,A Deshmukh,NJ Llong,"Rajiv Gandhi International Stadium, Uppal",field,Sunrisers Hyderabad,2017,9
6,1082597,Mumbai,2017-04-09 00:00:00,, Mumbai Indians,wickets,,20,N Rana,Mumbai Indians, Kolkata Knight Riders,Nitin Menon,CK Nandan,Wankhede Stadium,field,Mumbai Indians,2017,4
7,1082598,Indore,2017-04-10 00:00:00,, Kings XI Punjab,wickets,,20,AR Patel,Kings XI Punjab, Royal Challengers Bangalore,AK Chaudhary,C Shamshuddin,Holkar Cricket Stadium,bat,Royal Challengers Bangalore,2017,8
8,1082599,Pune,2017-04-11 00:00:00,, Delhi Daredevils,runs,,20,SV Samson,Rising Pune Supergiant, Delhi Daredevils,AY Dandekar,S Ravi,Maharashtra Cricket Association Stadium,field,Rising Pune Supergiant,2017,97
9,1082600,Mumbai,2017-04-12 00:00:00,, Mumbai Indians,wickets,,20,JJ Bumrah,Mumbai Indians, Sunrisers Hyderabad,Nitin Menon,CK Nandan,Wankhede Stadium,field,Mumbai Indians,2017,4
